firstName,lastName,birthDate,birthYear,graduationYear,gender,emails,phoneNumbers,sports,height,weight,school,teamName
Mason,Martinez,2009-05-21,2009,2027,Male,mason.martinez85@inbox.com,512-555-1520,soccer,67,190,Lake Travis HS,soccer 2009B Squad
Ethan,Garcia,2007-04-30,2007,2025,Male,ethan.garcia81@school.edu,512-555-9928,soccer,72,190,Westlake HS,soccer 2009B Squad
Henry,Sanchez,2008-10-28,2008,2026,Male,henry.sanchez99@inbox.com,512-555-6574,soccer,68,190,Anderson HS,soccer 2009B Squad
Benjamin,Lopez,2007-06-22,2007,2025,Male,benjamin.lopez58@email.com,512-555-6881,soccer,65,190,Lake Travis HS,soccer 2009B Squad
Daniel,Nguyen,2008-01-23,2008,2026,Male,daniel.nguyen20@mail.com,512-555-6925,soccer,71,190,Reagan HS,soccer 2009B Squad
David,Perez,2009-02-05,2009,2027,Male,david.perez47@email.com,512-555-4814,soccer,64,190,Bowie HS,soccer 2009B Squad
Mason,Gonzalez,2008-08-20,2008,2026,Male,mason.gonzalez36@mail.com,512-555-2169,soccer,74,190,Austin HS,soccer 2009B Squad
Joseph,Patel,2007-10-01,2007,2025,Male,joseph.patel69@inbox.com,512-555-5422,soccer,67,190,Anderson HS,soccer 2009B Squad
Samuel,Sanchez,2009-06-16,2009,2027,Male,samuel.sanchez61@mail.com,512-555-2084,soccer,64,190,Austin HS,soccer 2009B Squad
James,Reyes,2009-06-11,2009,2027,Male,james.reyes60@inbox.com,512-555-3340,soccer,67,190,Cedar Park HS,soccer 2009B Squad
Elijah,Santos,2009-05-15,2009,2027,Male,elijah.santos38@school.edu,512-555-9348,soccer,73,190,Austin HS,soccer 2009B Squad
Jack,Garcia,2007-02-26,2007,2025,Male,jack.garcia97@inbox.com,512-555-2040,soccer,66,190,Anderson HS,soccer 2009B Squad
Matthew,Gonzalez,2009-08-28,2009,2027,Male,matthew.gonzalez97@email.com,512-555-9797,soccer,72,190,Westlake HS,soccer 2009B Squad
Benjamin,Patel,2008-02-27,2008,2026,Male,benjamin.patel30@inbox.com,512-555-1053,soccer,68,190,Reagan HS,soccer 2009B Squad
Benjamin,Gomez,2007-09-17,2007,2025,Male,benjamin.gomez29@mail.com,512-555-3646,soccer,65,190,Bowie HS,soccer 2009B Squad
Samuel,Gomez,2007-11-03,2007,2025,Male,samuel.gomez12@email.com,512-555-6947,soccer,69,190,Cedar Park HS,soccer 2009B Squad
Lucas,Sanchez,2007-05-04,2007,2025,Male,lucas.sanchez18@school.edu,512-555-3103,soccer,73,190,Cedar Park HS,soccer 2009B Squad
Jack,Santos,2007-05-16,2007,2025,Male,jack.santos37@school.edu,512-555-6107,soccer,72,190,Reagan HS,soccer 2009B Squad
Matthew,Kim,2009-07-11,2009,2027,Male,matthew.kim38@email.com,512-555-6539,soccer,71,190,Bowie HS,soccer 2009B Squad
Ethan,Reyes,2009-04-28,2009,2027,Male,ethan.reyes10@email.com,512-555-1964,soccer,73,190,Bowie HS,soccer 2009B Squad
Elijah,Garcia,2007-06-19,2007,2025,Male,elijah.garcia37@school.edu,512-555-8744,soccer,65,190,Cedar Park HS,soccer 2009B Squad
Elijah,Castillo,2008-04-07,2008,2026,Male,elijah.castillo94@inbox.com,512-555-6804,soccer,65,190,Lake Travis HS,soccer 2009B Squad
